,exp_stage,history,rating,rt,stim_file,stim_index,subjid,stim_acc,stim_freq,reg_rating,stim_repetition,labeled_value,community,structure_coefficient
4,value_rating,"[(None, 0.0), (3.5, 3.961), (3.5, 5.059)]",3.5,5.059,images/3.png,5,CCT,0.675,56,0.209854092078,0,4.66775983763,2,-0.0403676646369
5,value_rating,"[(None, 0.0), (5.0, 3.677), (5.0, 5.867)]",5.0,5.867,images/6.png,2,CCT,0.847058823529,115,1.04694300791,0,9.90846454017,0,-0.0403676646369
6,value_rating,"[(None, 0.0), (2.5, 3.408), (2.5, 5.794)]",2.5,5.794,images/9.png,10,CCT,0.912280701754,68,-1.70434492443,0,3.11548605754,1,-0.0403676646369
7,value_rating,"[(None, 0.0), (4.5, 8.602), (4.5, 9.346)]",4.5,9.346,images/4.png,8,CCT,0.675,86,1.20985409208,1,1.08503847794,1,-0.0403676646369
8,value_rating,"[(None, 0.0), (5.6, 7.979), (5.6, 13.267)]",5.6,13.267,images/2.png,3,CCT,0.880952380952,111,1.51635734868,1,9.72714822428,0,-0.0403676646369
9,value_rating,"[(None, 0.0), (5.2, 5.995), (5.2, 7.158)]",5.2,7.158,images/7.png,4,CCT,0.95,113,0.850329538754,1,8.86296143461,0,-0.0403676646369
10,value_rating,"[(None, 0.0), (6.3, 2.867), (6.3, 4.829)]",6.3,4.829,images/6.png,2,CCT,0.847058823529,115,2.34694300791,1,9.90846454017,0,-0.0403676646369
11,value_rating,"[(None, 0.0), (4.8, 1.629), (4.8, 2.495)]",4.8,2.495,images/9.png,10,CCT,0.912280701754,68,0.595655075574,1,3.11548605754,1,-0.0403676646369
12,value_rating,"[(None, 0.0), (2.4, 2.692), (2.4, 3.572)]",2.4,3.572,images/3.png,5,CCT,0.675,56,-0.890145907922,1,4.66775983763,2,-0.0403676646369
13,value_rating,"[(None, 0.0), (5.2, 2.12), (5.2, 2.9)]",5.2,2.9,images/8.png,9,CCT,0.970588235294,76,0.771006844923,1,1.11560484841,1,-0.0403676646369
14,value_rating,"[(None, 0.0), (5.8, 1.851), (5.8, 2.613)]",5.8,2.613,images/7.png,4,CCT,0.95,113,1.45032953875,2,8.86296143461,0,-0.0403676646369
15,value_rating,"[(None, 0.0), (5.1, 2.502), (5.1, 3.165)]",5.1,3.165,images/6.png,2,CCT,0.847058823529,115,1.14694300791,2,9.90846454017,0,-0.0403676646369
16,value_rating,"[(None, 0.0), (3.3, 2.291), (3.3, 3.912)]",3.3,3.912,images/3.png,5,CCT,0.675,56,0.00985409207826,2,4.66775983763,2,-0.0403676646369
17,value_rating,"[(None, 0.0), (6.0, 1.022), (3.6, 1.918), (3.6, 2.931)]",3.6,2.931,images/2.png,3,CCT,0.880952380952,111,-0.48364265132,2,9.72714822428,0,-0.0403676646369
18,value_rating,"[(None, 0.0), (7.3, 9.392), (7.3, 12.148)]",7.3,12.148,images/9.png,10,CCT,0.912280701754,68,3.09565507557,2,3.11548605754,1,-0.0403676646369
19,value_rating,"[(None, 0.0), (3.0, 1.54), (3.0, 2.167)]",3.0,2.167,images/4.png,8,CCT,0.675,86,-0.290145907922,2,1.08503847794,1,-0.0403676646369
20,value_rating,"[(None, 0.0), (1.9, 1.658), (1.9, 2.423)]",1.9,2.423,images/8.png,9,CCT,0.970588235294,76,-2.52899315508,2,1.11560484841,1,-0.0403676646369
0,value_rating,"[(None, 0.0), (3.2, 6.396), (3.2, 8.7)]",3.2,8.7,images/11.png,5,HYC,1.0,60,-2.01515179154,0,4.66775983763,2,-0.0207906221874
