,correct,duration,exp_stage,onset,response,rotation,rt,secondary_responses,secondary_rts,stim_file,stim_index,trialnum,subjid,correct_shift,community,community_cross,steps_within_community,steps_since_seen
78,True,1.5,structure_learning,119.445368052,unrot,0,0.447761058807,[],[],images/3.png,5,79,GL,True,1,False,5,2
79,False,1.5,structure_learning,120.95068717,unrot,90,0.386937856674,[],[],images/11.png,4,80,GL,True,0,True,1,6
80,True,1.5,structure_learning,122.455881119,unrot,0,0.691581010818,[],[],images/14.png,2,81,GL,False,0,False,2,8
81,True,1.5,structure_learning,123.960839033,unrot,0,0.668174028397,[],[],images/5.png,1,82,GL,True,0,False,3,13
82,True,1.5,structure_learning,125.467728138,unrot,0,0.94864487648,[],[],images/14.png,2,83,GL,True,0,False,4,2
83,True,1.5,structure_learning,126.972881079,unrot,0,1.25257205963,[],[],images/10.png,3,84,GL,True,0,False,5,21
84,True,1.5,structure_learning,128.478317976,unrot,0,0.982487916946,[],[],images/14.png,2,85,GL,True,0,False,6,2
85,True,1.5,structure_learning,129.985541105,unrot,0,0.849389076233,[],[],images/11.png,4,86,GL,True,0,False,7,6
86,True,1.5,structure_learning,131.490975142,unrot,0,0.992810964584,[],[],images/3.png,5,87,GL,True,1,True,1,8
87,False,1.5,structure_learning,132.997724056,unrot,90,0.574546098709,[],[],images/4.png,6,88,GL,True,1,False,2,50
88,True,1.5,structure_learning,134.502938986,unrot,0,0.3460688591,['right'],[1.1863038539886475],images/2.png,9,89,GL,False,1,False,3,55
89,False,1.5,structure_learning,136.008166075,unrot,90,0.895116090775,[],[],images/12.png,7,90,GL,True,1,False,4,14
90,True,1.5,structure_learning,137.51333499,unrot,0,0.500067949295,[],[],images/3.png,5,91,GL,False,1,False,5,4
91,True,1.5,structure_learning,139.018707991,unrot,0,0.706969976425,[],[],images/11.png,4,92,GL,True,0,True,1,6
92,True,1.5,structure_learning,140.52600503,unrot,0,0.645639896393,[],[],images/3.png,5,93,GL,True,1,True,1,2
93,True,1.5,structure_learning,142.031499147,unrot,0,0.480724096298,[],[],images/12.png,7,94,GL,True,1,False,2,4
94,False,1.5,structure_learning,143.536717176,unrot,90,0.49924993515,[],[],images/6.png,8,95,GL,True,1,False,3,17
95,True,1.5,structure_learning,145.041926146,unrot,0,0.563851118088,[],[],images/2.png,9,96,GL,False,1,False,4,7
96,True,1.5,structure_learning,146.548521996,unrot,0,0.327488183975,[],[],images/6.png,8,97,GL,True,1,False,5,2
97,True,1.5,structure_learning,148.053838015,unrot,0,0.36149096489,[],[],images/12.png,7,98,GL,True,1,False,6,4
98,False,1.5,structure_learning,149.559108019,unrot,90,0.411165952682,[],[],images/4.png,6,99,GL,True,1,False,7,11
99,True,1.5,structure_learning,151.064568043,unrot,0,0.365909814835,[],[],images/3.png,5,100,GL,False,1,False,8,7
100,False,1.5,structure_learning,152.569907188,unrot,90,0.399478912354,[],[],images/11.png,4,101,GL,True,0,True,1,9
101,True,1.5,structure_learning,154.075157166,unrot,0,0.32217001915,[],[],images/5.png,1,102,GL,False,0,False,2,20
102,True,1.5,structure_learning,155.580346107,unrot,0,0.308725833893,[],[],images/11.png,4,103,GL,True,0,False,3,2
103,True,1.5,structure_learning,157.085605145,unrot,0,0.366465806961,[],[],images/3.png,5,104,GL,True,1,True,1,4
104,True,1.5,structure_learning,158.591400146,unrot,0,0.414438009262,[],[],images/11.png,4,105,GL,True,0,True,1,2
105,True,1.5,structure_learning,160.098549128,unrot,0,0.416512966156,[],[],images/5.png,1,106,GL,True,0,False,2,4
106,False,1.5,structure_learning,161.604565144,unrot,90,0.338521003723,[],[],images/15.png,0,107,GL,True,0,False,3,37
107,True,1.5,structure_learning,163.109976053,unrot,0,0.497826814651,[],[],images/8.png,14,108,GL,False,2,True,1,41
108,True,1.5,structure_learning,164.61691308,unrot,0,0.444401979446,[],[],images/7.png,11,109,GL,True,2,False,2,51
109,True,1.5,structure_learning,166.122169018,unrot,0,0.629193067551,[],[],images/1.png,12,110,GL,True,2,False,3,44
110,True,1.5,structure_learning,167.627510071,unrot,0,0.798588037491,[],[],images/8.png,14,111,GL,True,2,False,4,3
111,False,1.5,structure_learning,169.132889032,unrot,90,0.705652952194,[],[],images/7.png,11,112,GL,True,2,False,5,3
112,True,1.5,structure_learning,170.638126135,unrot,0,0.564799785614,[],[],images/1.png,12,113,GL,False,2,False,6,3
113,True,1.5,structure_learning,172.143505096,unrot,0,0.296180963516,[],[],images/7.png,11,114,GL,True,2,False,7,2
114,True,1.5,structure_learning,173.649408102,unrot,0,0.21730017662,[],[],images/8.png,14,115,GL,True,2,False,8,4
115,False,1.5,structure_learning,175.156337023,rot,0,0.689698934555,[],[],images/15.png,0,116,GL,True,0,True,1,9
116,True,1.5,structure_learning,176.661529064,unrot,0,0.570761919022,[],[],images/10.png,3,117,GL,False,0,False,2,33
117,True,1.5,structure_learning,178.167226076,unrot,0,0.324720859528,[],[],images/11.png,4,118,GL,True,0,False,3,13
118,True,1.5,structure_learning,179.67458415,unrot,0,1.20074510574,[],[],images/14.png,2,119,GL,True,0,False,4,34
119,True,1.5,structure_learning,181.179816008,unrot,0,1.39440512657,[],[],images/15.png,0,120,GL,True,0,False,5,4
120,False,1.5,structure_learning,182.685089111,unrot,90,1.37891888618,[],[],images/8.png,14,121,GL,True,2,True,1,6
